"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"194","NIC496","A",1.9e-05,0.819425,"NIC496",4.08803,-52.67552,"South America","LAC"
"195","NIC753","A",1e-05,0.819658,"NIC753",15.39802,-61.31219,"Caribbean","LAC"
"196","NIC586","A",1e-05,0.822346,"NIC586",15.40493,-61.34619,"Caribbean","HC"
"197","NIC1657","A",1e-05,0.82965,"NIC1657",25.02814,121.74912,"Taiwan","Tw3"
"198","NIC1656","A",1e-05,0.829725,"NIC1656",25.02814,121.74912,"Taiwan","Tw3"
"199","NIC903","A",1e-05,0.831436,"NIC903",4.04877,-52.67666,"South America","LAC"
"200","QG3824","A",1e-05,0.831753,"QG3824",10.44022,-84.01188,"Central America","LAC"
"201","NIC1422","A",1e-05,0.835841,"NIC1422",3.639726033,-53.20330401,"South America","LAC"
"202","QG848","A",1e-05,0.837843,"QG848",9.15445,-79.82763,"Central America","LAC"
"203","NIC983","A",1e-05,0.838984,"NIC983",4.03848,-52.67002,"South America","LAC"
"204","QG981","A",1e-05,0.839714,"QG981",9.14576403,-79.8544232,"Central America","LAC"
"205","NIC1917","A",1e-05,0.84071,"NIC1917",14.67639,-61.090457,"Caribbean","HC"
"206","NIC425","A",1e-05,0.841122,"NIC425",5.53544,-53.5634,"South America","LAC"
"207","NIC468","A",1e-05,0.842747,"NIC468",4.0883,-52.67541,"South America","LAC"
"208","NIC1420","A",1e-05,0.843187,"NIC1420",3.603495006,-53.19458197,"South America","LAC"
"209","NIC1300","A",1e-05,0.845299,"NIC1300",3.594842032,-53.17887696,"South America","LAC"
"210","NIC1165","A",1e-05,0.845778,"NIC1165",-12.87688399,-69.49484501,"South America","LAC"
"211","NIC1881","A",0.15217,0.84757,"NIC1881",14.744609,-61.094657,"Caribbean","LAC"
"212","NIC94","A",1e-05,0.848291,"NIC94",4.08747,-52.67394,"South America","LAC"
"213","QG3539","A",1e-05,0.850327,"QG3539",10.42332222,-84.00135556,"Central America","LAC"
"214","NIC1278","A",1e-05,0.854232,"NIC1278",3.638634961,-53.20414497,"South America","LAC"
"215","NIC1851","A",1e-05,0.855979,"NIC1851",14.72499,-61.105335,"Caribbean","LAC"
"216","NIC1913","A",1e-05,0.856371,"NIC1913",14.724882,-61.105406,"Caribbean","LAC"
"217","EG6180","A",0.857435,0.857435,"EG6180",18.3,-65.8,"Caribbean","LAC"
"218","NIC572","A",1e-05,0.857916,"NIC572",15.47461,-61.29876,"Caribbean","HC"
"219","NIC571","A",1e-05,0.858027,"NIC571",15.47461,-61.29876,"Caribbean","HC"
"220","NIC1323","A",1e-05,0.860023,"NIC1323",4.556285972,-52.20881601,"South America","LAC"
"221","NIC994","A",1e-05,0.860619,"NIC994",4.04243,-52.67869,"South America","LAC"
"222","NIC1317","A",1e-05,0.862834,"NIC1317",4.555320963,-52.209778,"South America","LAC"
"223","NIC1389","A",0.133776,0.865964,"NIC1389",3.616803959,-53.19629196,"South America","LAC"
"224","QG3799","A",1e-05,0.869215,"QG3799",10.43008,-84.00894,"Central America","LAC"
"225","NIC1338","A",1e-05,0.870013,"NIC1338",4.048259994,-52.67714798,"South America","LAC"
"226","JU1821","A",1e-05,0.872632,"JU1821",4.087967,-52.675167,"South America","LAC"
"227","NIC450","A",1e-05,0.873805,"NIC450",4.08926,-52.67607,"South America","LAC"
"228","NIC2366","A",1e-05,0.874565,"NIC2366",4.038928002,-52.66763904,"South America","LAC"
"229","QG3807","A",1e-05,0.87591,"QG3807",10.43182,-84.01499,"Central America","LAC"
"230","NIC1112","A",1e-05,0.876752,"NIC1112",-12.829016,-71.377696,"South America","LAC"
"231","NIC1170","A",1e-05,0.878323,"NIC1170",-12.87956603,-69.49155604,"South America","LAC"
"232","QG3521","A",1e-05,0.884875,"QG3521",10.42643333,-84.01193333,"Central America","LAC"
